    PID TTY      STAT   TIME COMMAND
   7830 ?        Sl     2:01 /usr/lib64/discord/Discord --type=gpu-process --crashpad-handler-pid=7741 --enable-crash-reporter=536e13ce-4889-42ac-9390-9f4c747fcb9f,no_channel --user-data-dir=/home/zozo/.config/discord --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=3,i,8521820789333113356,15285654687001598801,262144 --disable-features=AllowAggressiveThrottlingWithWebSocket,HardwareMediaKeyHandling,IntensiveWakeUpThrottling,MediaSessionService,SpareRendererForSitePerProcess,UseEcoQoSForBackgroundProcess,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version
   7834 ?        Sl     0:08 /usr/lib64/discord/Discord --type=utility --utility-sub-type=network.mojom.NetworkService --lang=fr --service-sandbox-type=none --crashpad-handler-pid=7741 --enable-crash-reporter=536e13ce-4889-42ac-9390-9f4c747fcb9f,no_channel --user-data-dir=/home/zozo/.config/discord --secure-schemes=disclip,sentry-ipc --bypasscsp-schemes=sentry-ipc --cors-schemes=sentry-ipc --fetch-schemes=disclip,sentry-ipc --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8521820789333113356,15285654687001598801,262144 --disable-features=AllowAggressiveThrottlingWithWebSocket,HardwareMediaKeyHandling,IntensiveWakeUpThrottling,MediaSessionService,SpareRendererForSitePerProcess,UseEcoQoSForBackgroundProcess,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version
   7954 ?        Sl    15:39 /usr/lib64/discord/Discord --type=renderer --crashpad-handler-pid=7741 --enable-crash-reporter=536e13ce-4889-42ac-9390-9f4c747fcb9f,no_channel --user-data-dir=/home/zozo/.config/discord --secure-schemes=disclip,sentry-ipc --bypasscsp-schemes=sentry-ipc --cors-schemes=sentry-ipc --fetch-schemes=disclip,sentry-ipc --app-path=/usr/lib64/discord/resources/app.asar --no-sandbox --no-zygote --enable-blink-features=EnumerateDevices,AudioOutputDevices --autoplay-policy=no-user-gesture-required --lang=fr --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1736570836030410 --launch-time-ticks=3872620510 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8521820789333113356,15285654687001598801,262144 --disable-features=AllowAggressiveThrottlingWithWebSocket,HardwareMediaKeyHandling,IntensiveWakeUpThrottling,MediaSessionService,SpareRendererForSitePerProcess,UseEcoQoSForBackgroundProcess,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --enable-node-leakage-in-renderers
   7987 ?        Sl     0:01 /usr/lib64/discord/Discord --type=utility --utility-sub-type=audio.mojom.AudioService --lang=fr --service-sandbox-type=none --crashpad-handler-pid=7741 --enable-crash-reporter=536e13ce-4889-42ac-9390-9f4c747fcb9f,no_channel --user-data-dir=/home/zozo/.config/discord --secure-schemes=disclip,sentry-ipc --bypasscsp-schemes=sentry-ipc --cors-schemes=sentry-ipc --fetch-schemes=disclip,sentry-ipc --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8521820789333113356,15285654687001598801,262144 --disable-features=AllowAggressiveThrottlingWithWebSocket,HardwareMediaKeyHandling,IntensiveWakeUpThrottling,MediaSessionService,SpareRendererForSitePerProcess,UseEcoQoSForBackgroundProcess,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version
  19805 ?        Sl     0:00 /usr/lib64/speech-dispatcher-modules//sd_espeak-ng-mbrola /etc/speech-dispatcher/modules/espeak-ng-mbrola.conf
  19808 ?        Sl     0:00 /usr/lib64/speech-dispatcher-modules//sd_espeak-ng /etc/speech-dispatcher/modules/espeak-ng.conf
  19812 ?        Sl     0:01 /usr/lib64/speech-dispatcher-modules//sd_dummy /etc/speech-dispatcher/modules/dummy.conf
  19815 ?        Ssl    0:00 /usr/bin/speech-dispatcher --spawn --communication-method unix_socket --socket-path /run/user/1000/speech-dispatcher/speechd.sock
  29235 ?        Sl     0:00 /usr/libexec/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
  29255 ?        SNsl   0:01 /usr/libexec/tracker-miner-fs-3
  29294 ?        Sl     0:00 /usr/libexec/gvfsd-recent --spawner :1.7 /org/gtk/gvfs/exec_spaw/1
  29299 ?        Sl     0:00 /usr/libexec/gvfsd-network --spawner :1.7 /org/gtk/gvfs/exec_spaw/2
  29308 ?        Sl     0:00 /usr/libexec/gvfsd-dnssd --spawner :1.7 /org/gtk/gvfs/exec_spaw/3
  29325 ?        Sl     0:00 /usr/libexec/gvfsd-wsdd --spawner :1.7 /org/gtk/gvfs/exec_spaw/4
  29331 ?        S      0:00 /usr/bin/python3 /usr/bin/wsdd --no-host --discovery --listen /run/user/1000/gvfsd/wsdd
  31675 ?        Ssl    0:00 /usr/bin/gnome-calendar --gapplication-service
  31841 ?        Ssl    0:12 /usr/bin/ptyxis --gapplication-service
  31848 ?        Ssl    0:01 /usr/libexec/ptyxis-agent --socket-fd=3
  31875 ?        S      0:00 catatonit -P
  31907 pts/0    Ss     0:00 /usr/bin/bash
  37906 ?        Sl     0:37 /usr/lib64/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 36516 -prefMapHandle 1 -prefMapSize 260098 -jsInitHandle 2 -jsInitLen 234660 -parentBuildID 20241216112654 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {b8acd30a-dd4e-4247-b866-8aa2dbd62468} -parentPid 4998 -crashReporter 6 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser 236 tab
  39275 ?        Sl     0:00 /usr/lib64/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 36582 -prefMapHandle 1 -prefMapSize 260098 -jsInitHandle 2 -jsInitLen 234660 -parentBuildID 20241216112654 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {065628ef-232f-457d-8678-a57b5759bfd1} -parentPid 4998 -crashReporter 6 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser 241 tab
  39279 ?        Sl     0:18 /usr/lib64/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 36582 -prefMapHandle 1 -prefMapSize 260098 -jsInitHandle 2 -jsInitLen 234660 -parentBuildID 20241216112654 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {aabaf9d2-6201-484e-8b20-37f21d8cd708} -parentPid 4998 -crashReporter 6 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser 242 tab
  39368 ?        Sl     0:00 /usr/lib64/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 36582 -prefMapHandle 1 -prefMapSize 260098 -jsInitHandle 2 -jsInitLen 234660 -parentBuildID 20241216112654 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {982f1110-7b89-4006-9348-058dcb8e9e3e} -parentPid 4998 -crashReporter 6 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser 243 tab
  41462 ?        Sl     0:00 /usr/lib64/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 36582 -prefMapHandle 1 -prefMapSize 260098 -jsInitHandle 2 -jsInitLen 234660 -parentBuildID 20241216112654 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {797bbd2e-17ed-42bf-9afe-fb13474a9172} -parentPid 4998 -crashReporter 6 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser 244 tab
  41466 ?        Sl     0:00 /usr/lib64/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 36582 -prefMapHandle 1 -prefMapSize 260098 -jsInitHandle 2 -jsInitLen 234660 -parentBuildID 20241216112654 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {1ae6ded2-d290-446c-91f5-adcfb273ab3d} -parentPid 4998 -crashReporter 6 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser 245 tab
  42475 pts/0    R+     0:00 ps -x
